,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10
game: 0,2,3,5,6,6,6,6.0,4.0,,,
game: 1,3,3,3,5,6,7,,,,,
game: 2,1,5,5,5,6,5,6.0,6.0,5.0,5.0,3.0
game: 3,2,3,6,7,9,9,7.0,6.0,5.0,5.0,4.0
game: 4,1,3,4,4,6,6,7.0,6.0,6.0,,
game: 5,2,5,5,5,7,8,7.0,6.0,4.0,4.0,3.0
game: 6,1,2,5,6,7,7,6.0,,,,
game: 7,2,3,6,6,7,8,7.0,6.0,,,
game: 8,2,4,4,5,4,5,5.0,6.0,4.0,4.0,4.0
game: 9,2,4,6,6,7,6,6.0,,,,
