,game: 0,game: 1,game: 2,game: 3,game: 4,game: 5,game: 6,game: 7,game: 8,game: 9
player: 1,5,0,13,0,0,0,26,0,0,0
player: 2,0,26,0,1,16,6,0,10,1,7
