,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23
game: 68,0,2,5,6,6,6,6.0,6.0,8.0,8.0,9.0,10.0,,,,,,,,,,,,
game: 69,3,4,8,8,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,
game: 70,0,1,4,4,5,6,6.0,6.0,6.0,6.0,7.0,,,,,,,,,,,,,
game: 71,1,3,4,4,5,7,7.0,7.0,7.0,,,,,,,,,,,,,,,
game: 72,0,5,5,8,9,10,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,
game: 73,1,2,3,5,6,6,6.0,6.0,,,,,,,,,,,,,,,,
game: 74,0,1,1,3,5,6,6.0,6.0,6.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,10.0,,,,,,,
game: 75,0,2,4,6,7,8,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,
game: 76,0,2,2,5,6,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,,,,,,
game: 77,2,5,5,7,7,7,7.0,,,,,,,,,,,,,,,,,
game: 78,0,1,3,5,6,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,
game: 79,2,2,3,4,5,6,7.0,7.0,,,,,,,,,,,,,,,,
game: 80,0,2,4,5,7,7,7.0,7.0,,,,,,,,,,,,,,,,
game: 81,2,3,5,6,8,8,,,,,,,,,,,,,,,,,,
game: 82,0,3,4,4,5,6,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,,,,,,,,,,
game: 83,1,5,7,8,9,9,9.0,,,,,,,,,,,,,,,,,
game: 84,0,0,2,4,4,5,5.0,6.0,6.0,7.0,,,,,,,,,,,,,,
game: 85,2,3,3,4,5,6,7.0,8.0,8.0,9.0,,,,,,,,,,,,,,
game: 86,0,3,3,4,4,6,6.0,,,,,,,,,,,,,,,,,
game: 87,1,2,2,5,6,8,8.0,9.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,
game: 88,1,2,2,4,4,4,4.0,6.0,6.0,7.0,7.0,,,,,,,,,,,,,
game: 89,1,4,4,4,5,7,7.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
game: 90,1,2,4,4,4,4,4.0,4.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,
game: 91,1,3,4,5,6,7,7.0,9.0,9.0,,,,,,,,,,,,,,,
game: 92,1,1,2,3,3,5,5.0,5.0,5.0,5.0,7.0,7.0,,,,,,,,,,,,
game: 93,2,3,4,4,3,7,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,,,,,,,
game: 94,0,2,4,6,6,7,8.0,10.0,10.0,10.0,,,,,,,,,,,,,,
game: 95,1,5,5,6,8,8,8.0,8.0,8.0,,,,,,,,,,,,,,,
game: 96,0,3,4,6,6,5,5.0,6.0,6.0,,,,,,,,,,,,,,,
game: 97,1,4,6,7,8,10,10.0,10.0,,,,,,,,,,,,,,,,
game: 98,0,2,4,7,7,7,8.0,9.0,10.0,,,,,,,,,,,,,,,
game: 99,0,1,3,4,5,7,7.0,8.0,8.0,9.0,9.0,,,,,,,,,,,,,
