,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23
game: 0,1.0,0.3333333333333333,0.3333333333333333,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,
game: 1,0.3333333333333333,0.16666666666666666,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.1,0.1111111111111111,,,,,,,,,,,,,,,,,
game: 2,1.0,0.5,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1,0.1,,,,,,,,,
game: 3,0.3333333333333333,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.125,0.1111111111111111,0.1,0.09090909090909091,,,,,,,,,,,,,
game: 4,1.0,0.3333333333333333,0.3333333333333333,0.2,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,,,,,,,,,,,
game: 5,0.5,0.25,0.2,0.14285714285714285,0.14285714285714285,0.125,0.125,0.1111111111111111,0.1111111111111111,,,,,,,,,,,,,,,
game: 6,1.0,0.3333333333333333,0.16666666666666666,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,,,,,,,,,,,,,
game: 7,0.5,0.125,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.1111111111111111,,,,,,,,,,,,,,,,,,
game: 8,1.0,0.5,0.3333333333333333,0.2,0.2,0.16666666666666666,0.125,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,,,,,,,,,,,
game: 9,0.5,0.16666666666666666,0.14285714285714285,0.125,0.125,0.1,0.1,0.09090909090909091,,,,,,,,,,,,,,,,
