,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11
game: 0,0.0,0.0,0.0,47.05882352941176,15.384615384615385,36.0,26.66666666666667,51.42857142857142,47.05882352941176,73.20261437908498,74.46808510638299,
game: 1,0.0,0.0,0.0,25.0,14.28571428571429,41.93548387096774,31.57894736842105,26.66666666666667,51.42857142857142,50.0,,
game: 2,0.0,0.0,18.181818181818176,29.411764705882348,33.333333333333336,25.0,27.27272727272727,16.666666666666664,47.61904761904761,25.0,,
game: 3,0.0,0.0,0.0,16.666666666666664,23.076923076923073,14.28571428571429,29.411764705882348,40.625,52.112676056338024,,,
game: 4,0.0,0.0,0.0,16.666666666666664,36.36363636363637,19.999999999999996,25.0,25.0,26.66666666666667,43.47826086956522,,
game: 5,0.0,0.0,0.0,14.28571428571429,19.999999999999996,26.66666666666667,40.0,,,,,
game: 6,0.0,0.0,16.666666666666664,14.28571428571429,0.0,31.25,25.0,49.33333333333333,27.27272727272727,33.333333333333336,48.14814814814815,65.27777777777779
game: 7,0.0,0.0,0.0,14.28571428571429,33.333333333333336,39.21568627450981,,,,,,
game: 8,0.0,0.0,0.0,25.0,23.076923076923073,31.25,65.68627450980392,28.57142857142857,25.0,,,
game: 9,0.0,0.0,0.0,11.111111111111116,18.181818181818176,29.411764705882348,31.034482758620683,,,,,
