,game: 0,game: 1,game: 2,game: 3,game: 4,game: 5,game: 6,game: 7,game: 8,game: 9
player: 1,30,30,30,30,22,30,0,30,30,30
player: 2,0,0,0,0,0,0,22,0,0,0
