,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21
game: 0,1.0,0.25,0.2,0.09090909090909091,0.07142857142857142,0.09090909090909091,0.034482758620689655,0.02,0.05,0.045454545454545456,0.08333333333333333,0.02564102564102564,,,,,,,,,,
game: 1,0.5,0.25,0.25,0.125,0.08333333333333333,0.07692307692307693,0.0625,,,,,,,,,,,,,,,
game: 2,1.0,0.25,0.25,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.1,0.1111111111111111,0.05555555555555555,0.06666666666666667,0.058823529411764705,0.09090909090909091,0.1111111111111111,0.01818181818181818,0.058823529411764705,0.2,,,,,,
game: 3,0.5,0.2,0.14285714285714285,0.058823529411764705,0.05,0.03125,0.04,0.07692307692307693,,,,,,,,,,,,,,
game: 4,1.0,0.25,0.2,0.14285714285714285,0.07692307692307693,0.3333333333333333,0.0625,,,,,,,,,,,,,,,
game: 5,0.5,0.25,0.2,0.09090909090909091,0.07692307692307693,0.1111111111111111,0.0625,0.0625,0.02702702702702703,0.01818181818181818,,,,,,,,,,,,
game: 6,1.0,0.25,0.2,0.14285714285714285,0.07142857142857142,0.04,0.07692307692307693,0.03225806451612903,0.0625,0.125,0.03571428571428571,0.16666666666666666,0.125,0.125,0.043478260869565216,0.047619047619047616,0.029411764705882353,0.125,,,,
game: 7,0.5,0.3333333333333333,0.2,0.1111111111111111,0.07142857142857142,0.06666666666666667,0.058823529411764705,0.06666666666666667,0.029411764705882353,,,,,,,,,,,,,
game: 8,1.0,0.3333333333333333,0.25,0.2,0.14285714285714285,0.14285714285714285,0.06666666666666667,0.08333333333333333,0.05,0.08333333333333333,,,,,,,,,,,,
game: 9,0.5,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.0625,0.027777777777777776,,,,,,,,,,,,,,,,
game: 10,1.0,0.3333333333333333,0.2,0.14285714285714285,0.14285714285714285,0.125,0.07692307692307693,0.013888888888888888,0.05,0.07142857142857142,,,,,,,,,,,,
game: 11,0.5,0.25,0.14285714285714285,0.09090909090909091,0.06666666666666667,0.027777777777777776,0.023809523809523808,0.08333333333333333,0.125,,,,,,,,,,,,,
game: 12,1.0,0.25,0.25,0.1,0.06666666666666667,0.2,0.08333333333333333,0.125,0.09090909090909091,0.125,0.16666666666666666,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0.1,0.5,
game: 13,0.5,0.25,0.25,0.125,0.0625,0.05,0.07692307692307693,0.07692307692307693,,,,,,,,,,,,,,
game: 14,1.0,0.2,0.16666666666666666,0.058823529411764705,0.07142857142857142,0.03571428571428571,0.045454545454545456,0.02564102564102564,0.022222222222222223,0.125,0.08333333333333333,,,,,,,,,,,
game: 15,0.5,0.25,0.2,0.125,0.09090909090909091,0.05555555555555555,,,,,,,,,,,,,,,,
game: 16,1.0,0.3333333333333333,0.2,0.1,0.1111111111111111,0.09090909090909091,0.058823529411764705,0.07142857142857142,0.07692307692307693,,,,,,,,,,,,,
game: 17,0.5,0.2,0.2,0.058823529411764705,0.058823529411764705,0.03333333333333333,0.02564102564102564,,,,,,,,,,,,,,,
game: 18,1.0,0.25,0.2,0.09090909090909091,0.058823529411764705,0.041666666666666664,0.058823529411764705,0.045454545454545456,0.058823529411764705,0.07142857142857142,0.07142857142857142,,,,,,,,,,,
game: 19,0.5,0.25,0.2,0.1,0.1,0.05263157894736842,0.08333333333333333,0.05263157894736842,,,,,,,,,,,,,,
game: 20,1.0,0.2,0.2,0.0625,0.058823529411764705,0.04,0.058823529411764705,0.125,0.0625,,,,,,,,,,,,,
game: 21,0.5,0.25,0.2,0.125,0.1111111111111111,0.1111111111111111,0.07692307692307693,0.06666666666666667,0.06666666666666667,,,,,,,,,,,,,
game: 22,1.0,0.2,0.2,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.09090909090909091,0.08333333333333333,0.05263157894736842,0.09090909090909091,0.08333333333333333,0.125,,,,,,,,,,
game: 23,0.5,0.2,0.16666666666666666,0.05555555555555555,0.1,0.024390243902439025,0.0196078431372549,0.047619047619047616,,,,,,,,,,,,,,
game: 24,1.0,0.25,0.2,0.06666666666666667,0.0625,0.0625,0.07142857142857142,0.038461538461538464,0.05,,,,,,,,,,,,,
game: 25,0.5,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.03571428571428571,,,,,,,,,,,,,,,
game: 26,1.0,0.25,0.16666666666666666,0.06666666666666667,0.058823529411764705,0.16666666666666666,0.013157894736842105,0.0625,0.09090909090909091,,,,,,,,,,,,,
game: 27,0.5,0.25,0.25,0.14285714285714285,0.125,0.08333333333333333,0.06666666666666667,0.09090909090909091,0.058823529411764705,0.03333333333333333,0.0625,0.08333333333333333,0.125,,,,,,,,,
game: 28,1.0,0.3333333333333333,0.25,0.1111111111111111,0.16666666666666666,0.14285714285714285,0.05,0.0625,0.07142857142857142,0.02857142857142857,0.045454545454545456,0.06666666666666667,0.05555555555555555,0.09090909090909091,0.03571428571428571,0.058823529411764705,0.09090909090909091,,,,,
game: 29,0.5,0.25,0.16666666666666666,0.125,0.08333333333333333,0.058823529411764705,0.038461538461538464,,,,,,,,,,,,,,,
game: 30,1.0,0.3333333333333333,0.2,0.14285714285714285,0.07692307692307693,0.1,0.06666666666666667,0.06666666666666667,,,,,,,,,,,,,,
game: 31,0.5,0.3333333333333333,0.2,0.1,0.07142857142857142,0.07692307692307693,,,,,,,,,,,,,,,,
game: 32,1.0,0.25,0.25,0.2,0.09090909090909091,0.14285714285714285,0.027777777777777776,0.125,0.06666666666666667,0.07142857142857142,0.125,0.25,0.125,0.14285714285714285,0.1,0.25,0.1,0.25,0.5,0.5,0.5,0.5
game: 33,0.5,0.3333333333333333,0.2,0.14285714285714285,0.09090909090909091,0.07692307692307693,,,,,,,,,,,,,,,,
game: 34,1.0,0.3333333333333333,0.2,0.09090909090909091,0.07692307692307693,0.14285714285714285,0.017857142857142856,0.125,0.08333333333333333,0.09090909090909091,0.125,0.125,0.16666666666666666,,,,,,,,,
game: 35,0.5,0.25,0.2,0.058823529411764705,0.06666666666666667,0.02702702702702703,0.029411764705882353,0.06666666666666667,0.06666666666666667,0.07142857142857142,,,,,,,,,,,,
game: 36,1.0,0.25,0.2,0.14285714285714285,0.05263157894736842,0.047619047619047616,0.058823529411764705,0.037037037037037035,,,,,,,,,,,,,,
game: 37,0.5,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.034482758620689655,0.02857142857142857,0.03571428571428571,,,,,,,,,,,,,,,
game: 38,1.0,0.3333333333333333,0.25,0.16666666666666666,0.07692307692307693,0.1111111111111111,0.05555555555555555,0.08333333333333333,0.06666666666666667,0.017543859649122806,,,,,,,,,,,,
game: 39,0.5,0.2,0.25,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.08333333333333333,0.02631578947368421,0.07692307692307693,0.06666666666666667,,,,,,,,,,,,
game: 40,1.0,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.07142857142857142,0.058823529411764705,0.0625,0.058823529411764705,,,,,,,,,,,,,,
game: 41,0.5,0.2,0.14285714285714285,0.045454545454545456,0.03333333333333333,0.023255813953488372,0.02857142857142857,0.04,,,,,,,,,,,,,,
game: 42,1.0,0.5,0.25,0.25,0.1111111111111111,0.2,0.058823529411764705,0.07142857142857142,,,,,,,,,,,,,,
game: 43,0.5,0.3333333333333333,0.2,0.1111111111111111,0.058823529411764705,0.1,0.021739130434782608,0.023809523809523808,0.016666666666666666,,,,,,,,,,,,,
game: 44,1.0,0.2,0.2,0.1111111111111111,0.1,0.16666666666666666,0.07692307692307693,0.07142857142857142,0.04,0.09090909090909091,0.03333333333333333,0.1,0.25,,,,,,,,,
game: 45,0.5,0.25,0.16666666666666666,0.08333333333333333,0.0625,0.02702702702702703,0.043478260869565216,0.07142857142857142,,,,,,,,,,,,,,
game: 46,1.0,0.3333333333333333,0.2,0.125,0.06666666666666667,0.021739130434782608,0.027777777777777776,0.03571428571428571,0.018867924528301886,,,,,,,,,,,,,
game: 47,0.5,0.3333333333333333,0.2,0.125,0.08333333333333333,0.058823529411764705,0.047619047619047616,0.03571428571428571,,,,,,,,,,,,,,
game: 48,1.0,0.25,0.2,0.14285714285714285,0.125,0.022727272727272728,0.058823529411764705,0.019230769230769232,0.05263157894736842,0.05555555555555555,,,,,,,,,,,,
game: 49,0.5,0.2,0.16666666666666666,0.09090909090909091,0.1,0.08333333333333333,,,,,,,,,,,,,,,,
game: 50,1.0,0.25,0.25,0.16666666666666666,0.125,0.05263157894736842,0.07692307692307693,0.038461538461538464,,,,,,,,,,,,,,
game: 51,0.5,0.25,0.25,0.1,0.07142857142857142,0.05,0.0625,,,,,,,,,,,,,,,
game: 52,1.0,0.2,0.14285714285714285,0.05555555555555555,0.038461538461538464,0.020833333333333332,0.020833333333333332,0.034482758620689655,0.02857142857142857,0.05263157894736842,,,,,,,,,,,,
game: 53,0.5,0.2,0.2,0.058823529411764705,0.06666666666666667,0.034482758620689655,0.037037037037037035,,,,,,,,,,,,,,,
game: 54,1.0,0.3333333333333333,0.2,0.1,0.09090909090909091,0.06666666666666667,0.05555555555555555,0.05263157894736842,0.07142857142857142,,,,,,,,,,,,,
game: 55,0.5,0.2,0.16666666666666666,0.05,0.0625,0.03125,0.022727272727272728,0.025,,,,,,,,,,,,,,
game: 56,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.037037037037037035,0.041666666666666664,0.1111111111111111,0.1,0.14285714285714285,,,,,,,,,,,,
game: 57,0.5,0.25,0.2,0.1,0.058823529411764705,0.03571428571428571,,,,,,,,,,,,,,,,
game: 58,1.0,0.3333333333333333,0.3333333333333333,0.2,0.14285714285714285,0.125,0.06666666666666667,0.1111111111111111,0.034482758620689655,0.025,0.1111111111111111,0.08333333333333333,,,,,,,,,,
