,game: 0,game: 1,game: 2,game: 3,game: 4,game: 5,game: 6,game: 7,game: 8,game: 9
player: 1,28,28,0,0,0,30,0,0,0,0
player: 2,0,0,3,2,28,0,29,9,2,4
