,game: 0,game: 1,game: 2,game: 3,game: 4,game: 5,game: 6,game: 7,game: 8,game: 9
player: 1,18,26,30,23,25,21,26,27,17,29
player: 2,0,0,0,0,0,0,0,0,0,0
