,game: 0,game: 1,game: 2,game: 3,game: 4,game: 5,game: 6,game: 7,game: 8,game: 9,game: 10,game: 11,game: 12,game: 13,game: 14,game: 15,game: 16,game: 17,game: 18,game: 19
player: 1,0,28,11,2,23,29,0,0,0,0,0,0,0,23,0,0,0,0,0,0
player: 2,25,0,0,0,0,0,25,29,19,19,25,10,25,0,23,21,12,7,15,14
