,game: 0,game: 1,game: 2,game: 3,game: 4,game: 5,game: 6,game: 7,game: 8,game: 9
player: 1,0,0,0,0,0,0,0,0,0,0
player: 2,29,25,9,6,28,15,9,15,24,26
