,game: 0,game: 1,game: 2,game: 3,game: 4,game: 5,game: 6,game: 7,game: 8,game: 9
player: 1,0,0,0,0,21,2,0,0,10,0
player: 2,22,25,19,24,0,0,10,24,0,20
