,win rate
Iterations: 1,9.0
Iterations: 10,26.0
Iterations: 25,31.0
Iterations: 50,51.0
Iterations: 100,62.0
Iterations: 200,61.0
Iterations: 300,70.0
Iterations: 400,67.0
Iterations: 500,66.0
Iterations: 800,69.0
Iterations: 1000,73.0
