,game 0,game 1,game 2,game 3,game 4,game 5,game 6,game 7,game 8,game 9,game 10,game 11,game 12,game 13,game 14,game 15,game 16,game 17,game 18,game 19
itr: 1,22,15,22,13,20,15,18,14,17,11,18,15,27,19,27,11,18,21,20,17
itr: 10,18,15,19,21,14,30,36,15,25,14,18,15,23,22,29,16,20,11,18,31
itr: 50,21,18,21,22,20,15,16,14,20,13,17,19,22,16,19,17,26,18,20,13
itr: 100,13,17,16,17,23,26,20,22,24,30,16,11,16,10,24,17,11,15,20,24
itr: 200,13,13,16,24,10,16,23,31,17,26,21,13,13,30,14,16,23,11,13,19
