,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21
Iterations: 1,0.75,0.29166666666666663,0.17045454545454547,0.1625,0.1125,0.11309523809523808,0.03774928774928775,0.032744282744282746,,,,,,,,,,,,,,
Iterations: 2,1.0,0.75,0.45,0.22619047619047616,0.21666666666666667,0.09728506787330317,0.2,0.18181818181818182,0.07692307692307693,0.13333333333333333,0.07407407407407407,0.125,,,,,,,,,,
Iterations: 3,2.25,1.25,0.525,0.55,0.2091346153846154,0.11830357142857142,0.225,0.15833333333333333,0.125,0.14285714285714285,0.6,,,,,,,,,,,
Iterations: 4,3.0,1.1666666666666665,1.1666666666666665,0.41666666666666663,0.2714932126696833,0.26181818181818184,0.15229885057471265,,,,,,,,,,,,,,,
Iterations: 5,1.5625,1.0416666666666667,1.4583333333333335,0.5397727272727273,0.3522727272727273,0.5042016806722689,0.3173076923076923,0.1823607427055703,0.34259259259259256,0.421195652173913,0.3125,1.0,1.0,1.0,1.0,1.0,0.3125,1.0,0.3125,1.0,1.0,1.0
