,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11
Iterations: 1,2.6666666666666665,3.6666666666666665,3.6666666666666665,5.666666666666667,10.333333333333334,19.0,17.0,9.333333333333334,13.0,8.0,26.0,15.0
Iterations: 2,1.0,1.3333333333333333,3.6666666666666665,4.333333333333333,9.666666666666666,19.0,17.5,21.0,,,,
Iterations: 3,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,5.666666666666667,7.666666666666667,13.333333333333334,29.0,33.5,,,
