,game: 0,game: 1,game: 2,game: 3,game: 4,game: 5,game: 6,game: 7,game: 8,game: 9
player: 1,0,0,0,0,14,18,0,0,0,0
player: 2,5,11,15,2,0,0,15,9,10,9
