,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13
game: 0,6.666666666666667,5.0,5.0,4.0,2.857142857142857,2.857142857142857,2.2222222222222223,1.4285714285714286,1.0,1.1111111111111112,1.0,,,
game: 1,10.0,2.857142857142857,5.0,2.2222222222222223,2.857142857142857,1.6666666666666667,0.8,,,,,,,
game: 2,20.0,6.666666666666667,5.0,2.2222222222222223,2.857142857142857,1.5384615384615385,3.3333333333333335,1.3333333333333333,3.3333333333333335,2.0,5.0,5.0,2.5,5.0
game: 3,5.0,2.857142857142857,1.6666666666666667,2.0,2.857142857142857,1.5384615384615385,2.2222222222222223,1.3333333333333333,2.5,1.4285714285714286,2.5,5.0,1.0,
game: 4,10.0,6.666666666666667,3.3333333333333335,2.857142857142857,2.2222222222222223,2.857142857142857,2.2222222222222223,1.6666666666666667,2.0,1.4285714285714286,2.5,5.0,4.0,
game: 5,5.0,2.2222222222222223,5.0,5.0,3.3333333333333335,2.857142857142857,1.5384615384615385,1.6666666666666667,3.3333333333333335,2.5,2.857142857142857,2.857142857142857,1.0,
game: 6,10.0,10.0,3.3333333333333335,1.4285714285714286,2.2222222222222223,0.9090909090909091,2.2222222222222223,2.0,1.5384615384615385,,,,,
game: 7,5.0,6.666666666666667,5.0,5.0,3.3333333333333335,2.142857142857143,,,,,,,,
game: 8,10.0,5.0,4.0,3.3333333333333335,2.857142857142857,1.8181818181818181,4.0,2.5,2.0,,,,,
game: 9,10.0,5.0,4.0,3.3333333333333335,2.5,2.2222222222222223,0.8333333333333334,,,,,,,
