,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23
game: 58,1,3,4,8,14,22,48,235,129.0,138.0,294.0,92.0,207.0,171.0,65.0,5.0,16.0,,,,,,,
game: 59,5,3,6,16,9,19,12,21,17.0,33.0,32.0,24.0,,,,,,,,,,,,
game: 60,2,4,4,19,85,119,829,23,5.0,5.0,16.0,16.0,16.0,35.0,16.0,,,,,,,,,
game: 61,2,11,6,7,20,51,31,95,671.0,38.0,115.0,90.0,421.0,108.0,56.0,,,,,,,,,
game: 62,1,3,6,11,17,98,29,32,23.0,5.0,5.0,16.0,16.0,,,,,,,,,,,
game: 63,5,27,41,27,35,2,5,6,6.0,8.0,8.0,,,,,,,,,,,,,
game: 64,1,3,4,15,30,43,11,21,10.0,16.0,16.0,5.0,51.0,15.0,149.0,11.0,13.0,29.0,171.0,5.0,16.0,135.0,,
game: 65,5,4,6,12,19,10,18,11,26.0,61.0,21.0,34.0,18.0,105.0,133.0,34.0,8.0,,,,,,,
game: 66,1,4,10,40,47,27,38,21,10.0,23.0,,,,,,,,,,,,,,
game: 67,2,26,19,38,6,51,16,78,16.0,42.0,16.0,35.0,,,,,,,,,,,,
game: 68,2,3,4,4,39,68,87,66,157.0,41.0,35.0,16.0,16.0,10.0,111.0,,,,,,,,,
game: 69,5,16,4,7,17,11,10,38,166.0,66.0,47.0,,,,,,,,,,,,,
game: 70,2,8,54,28,49,64,69,83,105.0,105.0,,,,,,,,,,,,,,
game: 71,2,23,9,10,9,20,50,168,15.0,60.0,29.0,10.0,29.0,206.0,,,,,,,,,,
game: 72,1,2,7,4,10,37,378,26,32.0,99.0,46.0,8.0,16.0,5.0,,,,,,,,,,
game: 73,2,8,30,41,61,22,11,30,11.0,8.0,,,,,,,,,,,,,,
game: 74,1,4,11,6,13,220,26,39,77.0,15.0,27.0,73.0,47.0,148.0,65.0,32.0,21.0,35.0,65.0,5.0,5.0,10.0,8.0,8.0
game: 75,5,8,8,6,7,10,18,32,29.0,29.0,16.0,,,,,,,,,,,,,
game: 76,1,4,5,21,49,12,38,266,139.0,176.0,209.0,199.0,327.0,,,,,,,,,,,
game: 77,5,16,35,7,8,12,25,103,21.0,16.0,16.0,,,,,,,,,,,,,
game: 78,2,2,5,35,3,14,9,8,21.0,169.0,59.0,71.0,56.0,271.0,10.0,16.0,5.0,,,,,,,
game: 79,5,11,19,11,9,41,29,30,,,,,,,,,,,,,,,,
game: 80,1,4,9,4,7,14,39,41,119.0,421.0,66.0,,,,,,,,,,,,,
game: 81,2,4,9,13,26,65,246,58,348.0,149.0,98.0,180.0,65.0,,,,,,,,,,,
game: 82,5,22,8,9,8,3,5,8,42.0,66.0,63.0,787.0,43.0,53.0,30.0,15.0,10.0,65.0,,,,,,
