,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12
game: 0,0.0,0.0,0.0,16.666666666666664,33.333333333333336,37.83783783783784,41.02564102564102,,,,,,
game: 1,0.0,21.42857142857143,50.0,62.5,66.03773584905662,31.25,47.61904761904761,33.333333333333336,37.5,19.999999999999996,,,
game: 2,0.0,0.0,22.22222222222222,33.333333333333336,33.333333333333336,25.0,43.333333333333336,60.0,50.0,19.999999999999996,50.0,,
game: 3,19.999999999999996,18.181818181818176,0.0,27.27272727272727,18.181818181818176,50.0,36.8421052631579,50.0,19.999999999999996,50.0,19.999999999999996,,
game: 4,0.0,0.0,25.0,40.74074074074075,30.76923076923077,22.22222222222222,55.172413793103445,30.76923076923077,50.0,35.71428571428571,,,
game: 5,19.999999999999996,25.0,9.090909090909093,36.0,23.076923076923073,41.93548387096774,47.05882352941176,52.27272727272727,60.0,50.0,19.999999999999996,,
game: 6,0.0,0.0,14.28571428571429,11.111111111111116,12.5,12.5,19.999999999999996,19.999999999999996,25.0,,,,
game: 7,0.0,0.0,14.28571428571429,6.666666666666665,43.75,52.05479452054795,33.333333333333336,46.666666666666664,48.275862068965516,46.666666666666664,,,
game: 8,0.0,0.0,0.0,27.27272727272727,19.999999999999996,50.0,48.275862068965516,48.275862068965516,,,,,
game: 9,0.0,0.0,0.0,23.076923076923073,28.57142857142857,48.38709677419355,44.64285714285714,53.125,27.27272727272727,40.74074074074075,,,
game: 10,0.0,0.0,22.22222222222222,30.000000000000004,37.5,23.076923076923073,26.470588235294112,58.241758241758234,69.8224852071006,50.0,,,
game: 11,25.0,0.0,14.28571428571429,16.666666666666664,22.22222222222222,16.666666666666664,42.85714285714286,30.000000000000004,37.5,35.29411764705882,,,
game: 12,0.0,0.0,14.28571428571429,38.888888888888886,0.0,25.0,37.5,46.666666666666664,47.61904761904761,47.82608695652174,,,
game: 13,12.5,0.0,16.666666666666664,33.333333333333336,31.914893617021278,16.666666666666664,30.76923076923077,60.0,25.0,50.0,19.999999999999996,,
game: 14,0.0,0.0,19.999999999999996,0.0,14.28571428571429,33.333333333333336,16.666666666666664,44.11764705882353,51.42857142857142,56.09756097560976,50.0,19.999999999999996,
game: 15,12.5,9.090909090909093,25.0,14.28571428571429,44.99999999999999,43.99999999999999,45.833333333333336,48.275862068965516,50.0,,,,
game: 16,0.0,0.0,0.0,21.42857142857143,25.0,27.27272727272727,43.47826086956522,56.09756097560976,50.0,19.999999999999996,,,
game: 17,0.0,0.0,18.181818181818176,40.625,52.94117647058824,44.73684210526315,64.94845360824742,55.55555555555556,36.0,56.09756097560976,50.0,50.0,
game: 18,0.0,0.0,9.999999999999998,0.0,25.0,18.181818181818176,25.0,37.5,,,,,
game: 19,12.5,18.181818181818176,12.5,8.333333333333337,23.076923076923073,37.5,35.29411764705882,37.5,19.999999999999996,37.5,37.5,,
game: 20,0.0,0.0,19.999999999999996,29.411764705882348,42.42424242424242,57.14285714285714,42.85714285714286,69.23076923076923,37.5,50.0,19.999999999999996,19.999999999999996,
game: 21,18.181818181818176,36.36363636363637,51.85185185185186,19.999999999999996,28.57142857142857,26.66666666666667,31.25,52.77777777777778,63.41463414634146,,,,
game: 22,0.0,0.0,0.0,18.75,41.666666666666664,70.47619047619047,74.87437185929649,37.5,19.999999999999996,,,,
game: 23,19.999999999999996,0.0,11.111111111111116,12.5,37.03703703703704,45.945945945945944,52.23880597014925,40.74074074074075,51.42857142857142,37.5,,,
game: 24,0.0,0.0,14.28571428571429,21.42857142857143,33.333333333333336,61.1764705882353,56.4516129032258,33.333333333333336,37.5,,,,
game: 25,0.0,0.0,11.111111111111116,11.111111111111116,21.052631578947366,25.0,38.095238095238095,30.000000000000004,,,,,
