,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16
game: 0,0.0,0.0,22.22222222222222,27.77777777777778,21.42857142857143,14.28571428571429,,,,,,,,,,,
game: 1,0.0,0.0,0.0,25.0,18.181818181818176,12.5,19.999999999999996,28.57142857142857,,,,,,,,,
game: 2,0.0,0.0,0.0,9.999999999999998,0.0,16.666666666666664,14.28571428571429,27.27272727272727,,,,,,,,,
game: 3,19.999999999999996,19.999999999999996,28.57142857142857,28.57142857142857,31.25,15.384615384615385,28.57142857142857,39.28571428571429,19.999999999999996,19.999999999999996,50.0,19.999999999999996,,,,,
game: 4,0.0,0.0,12.5,15.384615384615385,14.28571428571429,15.384615384615385,31.11111111111111,30.000000000000004,,,,,,,,,
game: 5,19.999999999999996,27.27272727272727,55.55555555555556,56.09756097560976,74.69879518072288,79.71014492753623,60.0,56.52173913043479,,,,,,,,,
game: 6,0.0,0.0,0.0,27.27272727272727,27.27272727272727,50.0,30.000000000000004,50.0,,,,,,,,,
game: 7,19.999999999999996,27.27272727272727,0.0,16.666666666666664,35.29411764705882,0.0,,,,,,,,,,,
game: 8,0.0,0.0,0.0,28.57142857142857,40.0,16.666666666666664,30.000000000000004,,,,,,,,,,
game: 9,19.999999999999996,18.181818181818176,53.333333333333336,27.27272727272727,47.36842105263158,16.666666666666664,47.05882352941176,56.09756097560976,37.5,,,,,,,,
game: 10,0.0,0.0,0.0,22.22222222222222,14.28571428571429,16.666666666666664,31.25,,,,,,,,,,
game: 11,19.999999999999996,19.999999999999996,25.0,28.57142857142857,47.72727272727273,41.93548387096774,45.45454545454546,45.16129032258065,35.0,55.88235294117647,,,,,,,
game: 12,0.0,0.0,25.0,0.0,0.0,11.111111111111116,26.315789473684216,35.0,,,,,,,,,
game: 13,0.0,0.0,0.0,27.27272727272727,50.0,12.5,31.25,52.77777777777778,,,,,,,,,
game: 14,0.0,0.0,0.0,19.999999999999996,0.0,25.0,14.28571428571429,,,,,,,,,,
game: 15,0.0,18.181818181818176,18.181818181818176,16.666666666666664,12.5,14.28571428571429,,,,,,,,,,,
game: 16,0.0,0.0,0.0,0.0,0.0,23.076923076923073,40.54054054054054,37.03703703703704,52.38095238095239,48.275862068965516,37.5,19.999999999999996,50.0,50.0,54.28571428571429,,
game: 17,0.0,25.0,45.45454545454546,9.999999999999998,13.33333333333333,31.25,25.0,38.46153846153846,55.55555555555556,50.0,37.5,19.999999999999996,19.999999999999996,,,,
game: 18,0.0,0.0,16.666666666666664,0.0,18.181818181818176,12.5,14.28571428571429,42.307692307692314,27.27272727272727,48.14814814814815,,,,,,,
game: 19,0.0,0.0,14.28571428571429,22.22222222222222,12.5,40.74074074074075,25.0,,,,,,,,,,
game: 20,0.0,0.0,16.666666666666664,11.111111111111116,14.28571428571429,14.28571428571429,27.27272727272727,27.27272727272727,,,,,,,,,
game: 21,19.999999999999996,0.0,0.0,15.384615384615385,14.28571428571429,11.111111111111116,25.0,28.57142857142857,,,,,,,,,
game: 22,0.0,0.0,0.0,16.666666666666664,12.5,43.47826086956522,55.10204081632652,,,,,,,,,,
game: 23,19.999999999999996,25.0,0.0,27.27272727272727,12.5,21.42857142857143,22.22222222222222,30.76923076923077,25.0,,,,,,,,
game: 24,0.0,0.0,0.0,25.0,25.0,45.833333333333336,30.76923076923077,51.72413793103448,48.275862068965516,,,,,,,,
game: 25,25.0,0.0,0.0,0.0,12.5,31.034482758620683,62.65060240963856,25.0,55.55555555555556,50.0,,,,,,,
game: 26,0.0,0.0,0.0,14.28571428571429,40.0,36.36363636363637,42.85714285714286,,,,,,,,,,
game: 27,19.999999999999996,0.0,0.0,27.27272727272727,16.666666666666664,33.333333333333336,14.28571428571429,47.36842105263158,47.82608695652174,,,,,,,,
game: 28,0.0,0.0,0.0,0.0,16.666666666666664,36.36363636363637,33.333333333333336,48.275862068965516,50.0,,,,,,,,
game: 29,19.999999999999996,0.0,16.666666666666664,11.111111111111116,0.0,12.5,46.15384615384615,27.27272727272727,33.333333333333336,,,,,,,,
game: 30,0.0,0.0,0.0,0.0,22.22222222222222,19.999999999999996,28.57142857142857,27.77777777777778,39.28571428571429,55.55555555555556,50.0,19.999999999999996,37.93103448275862,50.0,19.999999999999996,,
