,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18
game: 0,0.0,0.0,0.0,25.0,0.0,14.28571428571429,22.22222222222222,31.25,25.0,70.49180327868852,25.0,25.0,,,,,,,
game: 1,19.999999999999996,0.0,25.0,16.666666666666664,30.76923076923077,19.999999999999996,30.76923076923077,42.22222222222223,63.26530612244898,57.14285714285714,77.03703703703704,47.61904761904761,75.38461538461539,50.0,37.5,,,,
game: 2,0.0,25.0,0.0,0.0,0.0,23.076923076923073,33.333333333333336,37.93103448275862,35.0,75.0,56.81818181818181,,,,,,,,
game: 3,0.0,0.0,21.42857142857143,39.28571428571429,22.22222222222222,25.0,52.32558139534884,25.0,,,,,,,,,,,
game: 4,0.0,0.0,19.999999999999996,14.28571428571429,42.85714285714286,51.11111111111111,47.61904761904761,47.61904761904761,48.275862068965516,50.0,69.23076923076923,19.999999999999996,19.999999999999996,50.0,19.999999999999996,19.999999999999996,,,
game: 5,0.0,19.999999999999996,27.27272727272727,40.0,14.28571428571429,27.27272727272727,36.0,50.0,52.0,57.49999999999999,73.75886524822694,30.76923076923077,56.00000000000001,,,,,,
game: 6,0.0,21.42857142857143,28.57142857142857,47.36842105263158,16.666666666666664,41.666666666666664,27.27272727272727,57.14285714285714,67.85714285714286,25.0,57.35294117647059,50.0,,,,,,,
game: 7,19.999999999999996,19.999999999999996,0.0,0.0,22.22222222222222,23.076923076923073,28.000000000000004,30.434782608695656,62.68656716417911,30.76923076923077,60.0,72.34042553191489,,,,,,,
game: 8,0.0,0.0,0.0,25.0,12.5,31.25,57.89473684210527,27.27272727272727,57.14285714285714,,,,,,,,,,
game: 9,19.999999999999996,46.93877551020408,46.93877551020408,65.51724137931035,51.470588235294116,25.0,31.25,73.75886524822694,33.333333333333336,37.93103448275862,34.48275862068966,,,,,,,,
game: 10,0.0,0.0,0.0,23.076923076923073,25.0,29.411764705882348,57.89473684210527,46.15384615384615,52.94117647058824,67.85714285714286,25.0,56.09756097560976,,,,,,,
game: 11,19.999999999999996,0.0,0.0,0.0,12.5,29.411764705882348,28.57142857142857,47.05882352941176,46.15384615384615,45.45454545454546,30.000000000000004,73.80952380952381,,,,,,,
game: 12,0.0,0.0,0.0,0.0,11.111111111111116,31.818181818181824,60.0,73.18435754189944,29.629629629629626,,,,,,,,,,
game: 13,0.0,0.0,0.0,27.586206896551722,45.205479452054796,73.7864077669903,54.761904761904766,52.94117647058824,30.76923076923077,47.61904761904761,52.94117647058824,47.61904761904761,,,,,,,
game: 14,0.0,0.0,18.181818181818176,0.0,11.111111111111116,23.529411764705888,42.42424242424242,31.25,36.8421052631579,60.65573770491803,52.94117647058824,73.77049180327869,,,,,,,
game: 15,0.0,47.36842105263158,0.0,11.111111111111116,23.076923076923073,28.57142857142857,50.79365079365079,50.0,55.81395348837209,66.50485436893203,77.54010695187165,30.76923076923077,30.76923076923077,,,,,,
game: 16,0.0,0.0,31.57894736842105,14.28571428571429,23.529411764705888,26.315789473684216,37.03703703703704,31.25,53.06122448979591,,,,,,,,,,
game: 17,0.0,18.181818181818176,42.42424242424242,50.0,32.14285714285714,27.27272727272727,36.58536585365854,27.77777777777778,26.315789473684216,42.307692307692314,,,,,,,,,
game: 18,0.0,0.0,0.0,27.27272727272727,16.666666666666664,30.76923076923077,26.66666666666667,44.067796610169495,64.28571428571428,27.77777777777778,79.75708502024291,78.68852459016394,50.0,50.0,19.999999999999996,33.333333333333336,,,
game: 19,0.0,18.181818181818176,14.28571428571429,43.90243902439024,26.315789473684216,54.666666666666664,44.44444444444444,67.07818930041152,64.38356164383562,77.91044776119402,55.46875,65.97938144329896,54.54545454545454,29.411764705882348,,,,,
game: 20,0.0,25.0,0.0,0.0,18.181818181818176,16.666666666666664,22.22222222222222,60.0,30.000000000000004,,,,,,,,,,
game: 21,0.0,0.0,0.0,25.0,22.72727272727273,47.540983606557376,34.14634146341463,33.333333333333336,57.14285714285714,74.27184466019418,60.37735849056604,59.09090909090908,,,,,,,
game: 22,0.0,0.0,0.0,11.111111111111116,38.23529411764706,54.385964912280706,34.61538461538461,47.82608695652174,,,,,,,,,,,
game: 23,19.999999999999996,47.36842105263158,46.93877551020408,12.5,29.166666666666664,26.66666666666667,30.000000000000004,47.05882352941176,35.29411764705882,35.29411764705882,55.172413793103445,48.14814814814815,30.000000000000004,50.0,30.000000000000004,,,,
game: 24,0.0,12.5,19.999999999999996,14.28571428571429,22.22222222222222,51.42857142857142,16.666666666666664,54.761904761904766,30.76923076923077,30.76923076923077,54.347826086956516,39.13043478260869,,,,,,,
game: 25,0.0,25.0,40.90909090909091,9.090909090909093,0.0,31.25,25.0,45.45454545454546,80.6970509383378,30.76923076923077,23.076923076923073,47.61904761904761,30.000000000000004,,,,,,
game: 26,0.0,0.0,0.0,29.268292682926834,44.680851063829785,57.35294117647059,27.27272727272727,53.48837209302326,25.0,44.44444444444444,54.28571428571429,,,,,,,,
game: 27,0.0,0.0,25.0,0.0,25.0,55.00000000000001,59.78260869565217,30.434782608695656,50.0,30.000000000000004,38.095238095238095,63.11475409836065,29.411764705882348,52.17391304347826,19.999999999999996,37.5,19.999999999999996,,
game: 28,0.0,0.0,0.0,0.0,9.999999999999998,27.27272727272727,29.411764705882348,51.28205128205128,54.761904761904766,69.84126984126983,37.5,19.999999999999996,19.999999999999996,25.0,30.000000000000004,,,,
game: 29,0.0,12.5,12.5,12.5,45.45454545454546,19.999999999999996,22.22222222222222,,,,,,,,,,,,
game: 30,0.0,0.0,0.0,12.5,11.111111111111116,23.076923076923073,28.57142857142857,,,,,,,,,,,,
game: 31,0.0,0.0,0.0,21.42857142857143,25.0,23.076923076923073,42.10526315789473,36.36363636363637,42.50000000000001,55.55555555555556,51.02040816326531,52.94117647058824,47.61904761904761,,,,,,
game: 32,0.0,0.0,0.0,26.66666666666667,39.28571428571429,50.0,36.36363636363637,28.57142857142857,42.00000000000001,61.64383561643836,60.86956521739131,69.04761904761905,25.0,29.411764705882348,56.09756097560976,,,,
game: 33,19.999999999999996,0.0,16.666666666666664,12.5,29.411764705882348,19.999999999999996,27.27272727272727,28.57142857142857,62.96296296296296,27.77777777777778,54.54545454545454,30.76923076923077,73.91304347826086,50.0,56.09756097560976,,,,
game: 34,0.0,0.0,0.0,25.0,25.92592592592593,25.0,45.45454545454546,,,,,,,,,,,,
game: 35,0.0,18.181818181818176,0.0,14.28571428571429,11.111111111111116,34.61538461538461,61.64383561643836,60.526315789473685,51.35135135135135,57.53424657534247,67.33668341708542,50.0,30.000000000000004,,,,,,
game: 36,0.0,27.27272727272727,0.0,16.666666666666664,27.27272727272727,16.666666666666664,25.0,35.0,33.333333333333336,51.72413793103448,,,,,,,,,
game: 37,0.0,21.42857142857143,17.647058823529417,23.809523809523814,26.923076923076927,51.66666666666666,51.0,39.583333333333336,33.333333333333336,,,,,,,,,,
game: 38,0.0,0.0,36.8421052631579,21.42857142857143,43.75,38.70967741935484,30.000000000000004,47.61904761904761,,,,,,,,,,,
game: 39,0.0,0.0,0.0,23.076923076923073,27.586206896551722,30.434782608695656,43.85964912280702,,,,,,,,,,,,
game: 40,0.0,0.0,0.0,25.0,0.0,16.666666666666664,23.809523809523814,42.50000000000001,37.93103448275862,52.94117647058824,59.61538461538461,73.07692307692308,,,,,,,
game: 41,0.0,9.090909090909093,25.0,26.315789473684216,47.5,40.0,33.333333333333336,62.96296296296296,55.55555555555556,30.000000000000004,50.0,50.0,50.0,,,,,,
game: 42,0.0,0.0,0.0,14.28571428571429,12.5,30.000000000000004,47.45762711864406,35.29411764705882,30.000000000000004,43.47826086956522,30.000000000000004,,,,,,,,
game: 43,0.0,18.181818181818176,17.647058823529417,25.0,25.0,45.16129032258065,31.25,31.25,46.15384615384615,45.45454545454546,73.6842105263158,55.172413793103445,,,,,,,
game: 44,0.0,0.0,0.0,12.5,9.999999999999998,42.10526315789473,40.476190476190474,55.10204081632652,,,,,,,,,,,
game: 45,0.0,0.0,0.0,12.5,23.076923076923073,19.999999999999996,26.66666666666667,51.42857142857142,62.06896551724138,59.64912280701755,54.54545454545454,55.172413793103445,50.0,,,,,,
game: 46,0.0,0.0,27.27272727272727,27.77777777777778,47.5,19.999999999999996,33.333333333333336,50.0,43.47826086956522,,,,,,,,,,
game: 47,0.0,0.0,0.0,40.0,25.0,35.0,34.09090909090909,52.727272727272734,55.55555555555556,50.0,,,,,,,,,
game: 48,0.0,0.0,0.0,14.28571428571429,15.384615384615385,23.076923076923073,66.35514018691589,50.0,,,,,,,,,,,
game: 49,0.0,0.0,0.0,0.0,23.076923076923073,14.28571428571429,26.66666666666667,51.21951219512195,53.84615384615385,37.03703703703704,51.11111111111111,58.97435897435898,,,,,,,
game: 50,0.0,12.5,0.0,30.76923076923077,27.27272727272727,44.99999999999999,47.61904761904761,56.09756097560976,37.5,,,,,,,,,,
game: 51,19.999999999999996,25.0,47.36842105263158,63.26530612244898,21.42857142857143,33.333333333333336,27.27272727272727,,,,,,,,,,,,
game: 52,0.0,18.181818181818176,0.0,12.5,15.384615384615385,23.529411764705888,36.0,59.183673469387756,30.000000000000004,,,,,,,,,,
game: 53,19.999999999999996,18.181818181818176,0.0,25.0,11.111111111111116,23.529411764705888,36.36363636363637,33.333333333333336,44.11764705882353,33.333333333333336,,,,,,,,,
game: 54,0.0,0.0,0.0,16.666666666666664,0.0,25.0,27.77777777777778,50.0,37.03703703703704,56.75675675675676,52.94117647058824,55.55555555555556,,,,,,,
game: 55,0.0,0.0,0.0,14.28571428571429,14.28571428571429,38.888888888888886,51.35135135135135,46.15384615384615,57.89473684210527,33.333333333333336,48.275862068965516,37.5,37.5,19.999999999999996,19.999999999999996,,,,
game: 56,0.0,0.0,0.0,12.5,12.5,22.22222222222222,25.0,22.22222222222222,23.076923076923073,51.515151515151516,51.72413793103448,,,,,,,,
game: 57,19.999999999999996,0.0,9.999999999999998,23.809523809523814,23.076923076923073,41.93548387096774,40.0,,,,,,,,,,,,
game: 58,0.0,0.0,0.0,27.77777777777778,64.51612903225806,16.666666666666664,65.33333333333333,54.761904761904766,47.61904761904761,,,,,,,,,,
game: 59,19.999999999999996,0.0,0.0,19.999999999999996,19.999999999999996,44.44444444444444,53.06122448979591,54.385964912280706,47.61904761904761,48.0,40.74074074074075,35.0,60.41666666666667,62.5,69.23076923076923,,,,
game: 60,0.0,0.0,0.0,23.076923076923073,23.809523809523814,47.540983606557376,31.25,45.945945945945944,73.91304347826086,,,,,,,,,,
