,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18
game: 71,2,4,38,41,21,7,17,31.0,18.0,34.0,46.0,23.0,,,,,,,
game: 72,1,2,4,6,20,13,19,11.0,38.0,35.0,,,,,,,,,
game: 73,5,38,11,7,13,60,95,421.0,29.0,,,,,,,,,,
game: 74,1,2,6,7,14,31,47,54.0,59.0,,,,,,,,,,
game: 75,2,11,30,56,128,14,49,26.0,15.0,34.0,13.0,,,,,,,,
game: 76,2,5,5,12,13,129,20,15.0,,,,,,,,,,,
game: 77,5,5,12,7,20,44,61,17.0,8.0,10.0,,,,,,,,,
game: 78,1,5,6,19,13,38,58,12.0,,,,,,,,,,,
game: 79,5,27,4,12,14,25,25,81.0,56.0,30.0,30.0,17.0,16.0,10.0,29.0,41.0,,,
game: 80,2,3,2,6,25,16,31,75.0,13.0,22.0,38.0,48.0,34.0,,,,,,
game: 81,5,27,11,8,28,25,20,11.0,50.0,,,,,,,,,,
game: 82,1,4,3,8,25,21,20,14.0,151.0,115.0,59.0,46.0,21.0,29.0,41.0,,,,
game: 83,5,5,9,12,24,7,15,35.0,26.0,,,,,,,,,,
game: 84,1,3,5,14,25,17,26,11.0,11.0,20.0,,,,,,,,,
game: 85,2,3,4,5,8,106,17,20.0,20.0,116.0,16.0,16.0,,,,,,,
game: 86,2,2,3,6,13,16,16,11.0,35.0,34.0,,,,,,,,,
game: 87,2,3,3,7,14,13,22,76.0,222.0,79.0,122.0,16.0,65.0,5.0,10.0,16.0,,,
game: 88,1,5,5,20,20,16,12,30.0,11.0,22.0,,,,,,,,,
game: 89,5,49,49,12,13,31,30,15.0,44.0,,,,,,,,,,
game: 90,1,5,4,12,13,29,21,37.0,201.0,413.0,10.0,,,,,,,,
game: 91,5,11,9,8,19,57,39,24.0,13.0,21.0,27.0,8.0,34.0,,,,,,
game: 92,2,8,11,25,263,30,29,16.0,5.0,16.0,,,,,,,,,
game: 93,2,11,30,52,114,21,17,74.0,197.0,92.0,,,,,,,,,
game: 94,1,2,3,3,12,7,16,122.0,88.0,20.0,26.0,247.0,41.0,5.0,16.0,,,,
game: 95,2,2,4,11,7,17,17,16.0,47.0,181.0,23.0,122.0,10.0,16.0,16.0,,,,
game: 96,1,2,4,8,8,25,27,110.0,103.0,111.0,79.0,259.0,41.0,16.0,5.0,5.0,16.0,20.0,16.0
game: 97,5,17,11,7,12,20,28,43.0,18.0,13.0,44.0,56.0,68.0,29.0,16.0,,,,
game: 98,1,2,3,11,8,16,21,15.0,40.0,309.0,55.0,34.0,84.0,16.0,,,,,
game: 99,2,3,4,17,11,29,103,37.0,17.0,13.0,21.0,29.0,,,,,,,
