,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12
game: 0,35.29672360420227,38.448383808135986,37.586910009384155,35.40898108482361,31.96101212501526,29.092135190963745,,,,,,,
game: 1,45.544554471969604,43.07190299034119,38.30543231964111,39.88662838935852,23.293781280517578,26.710896015167236,24.136696100234985,,,,,,
game: 2,41.137609243392944,38.57289671897888,36.65325307846069,31.034026384353638,28.841573476791382,23.20568013191223,,,,,,,
game: 3,41.31520056724548,43.917439222335815,42.519753217697144,36.888822078704834,32.28056359291077,26.544386863708496,26.515268325805664,,,,,,
game: 4,37.34757924079895,36.689202308654785,31.195048570632935,33.678810596466064,31.05972981452942,27.19419550895691,23.835719108581543,,,,,,
game: 5,42.276819705963135,39.98693227767944,36.93956780433655,33.2541766166687,33.553147077560425,31.23648500442505,25.428443908691406,22.950899362564087,21.22895121574402,,,,
game: 6,51.24901986122131,48.81163787841797,50.89646053314209,51.31972146034241,45.65625834465027,37.445749282836914,34.55230784416199,26.96072745323181,1.5694777965545654,,,,
game: 7,37.55244302749634,33.57393407821655,33.09815454483032,32.332778453826904,33.05893659591675,29.6594181060791,27.22420310974121,,,,,,
game: 8,43.30434727668762,43.697592973709106,40.97648501396179,33.24230670928955,31.366275787353516,25.640416622161865,24.535995960235596,,,,,,
game: 9,45.32391858100891,42.765817165374756,41.36901545524597,36.9648323059082,35.71602749824524,30.555933237075806,23.732393980026245,24.85970640182495,,,,,
game: 10,43.82596206665039,42.76307916641235,40.098721504211426,36.417035818099976,34.709574699401855,30.557333946228027,,,,,,,
game: 11,53.45516872406006,50.88309192657471,49.56585931777954,46.23987340927124,44.78783297538757,44.09676766395569,45.69486665725708,41.20898485183716,34.77133536338806,33.919278144836426,27.248461484909058,24.62432837486267,28.060582876205444
game: 12,41.69508337974548,42.70313596725464,40.7001416683197,39.34357213973999,36.56821894645691,33.625463008880615,29.004369974136353,23.326641082763672,,,,,
game: 13,42.42528223991394,41.416890382766724,40.092589378356934,37.7592248916626,35.34121251106262,34.67889761924744,32.12525963783264,25.97542095184326,27.514280080795288,,,,
game: 14,40.378214597702026,41.204501152038574,38.01250433921814,35.84327697753906,32.861599922180176,32.9768488407135,31.450062036514282,,,,,,
game: 15,45.927988052368164,44.67532181739807,46.26338052749634,38.00719141960144,37.84717535972595,31.55656099319458,30.08457636833191,30.16236639022827,21.616842031478882,,,,
game: 16,41.52924418449402,38.04087948799133,36.24386501312256,32.7850227355957,24.366856336593628,,,,,,,,
game: 17,42.10481119155884,39.407625675201416,41.023072957992554,39.82049775123596,37.15640139579773,34.090970277786255,27.400752782821655,24.421791553497314,22.460097789764404,,,,
game: 18,42.43103909492493,42.723331928253174,41.353771924972534,41.8214750289917,39.1909282207489,34.811102867126465,23.67968225479126,,,,,,
game: 19,40.86163520812988,42.83080458641052,40.78579330444336,43.77843117713928,43.76111650466919,39.91720652580261,34.399991512298584,32.94258379936218,28.36754298210144,28.721660614013672,28.961531400680542,25.56458592414856,3.215914011001587
