,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19
game: 0,56.191694259643555,58.72883892059326,59.29120707511902,58.078155517578125,62.09609341621399,60.00642013549805,52.67172122001648,51.14871525764465,42.07516145706177,,,,,,,,,,,
game: 1,68.22290682792664,68.19072341918945,72.15187549591064,69.16594624519348,58.1422975063324,64.14702606201172,57.87712478637695,58.7203414440155,53.227131366729736,48.185136556625366,47.55922889709473,42.39529752731323,35.2953839302063,32.4594407081604,29.384138584136963,25.21426749229431,,,,
game: 2,77.77604651451111,77.0436463356018,76.31705951690674,71.58005952835083,73.02656888961792,68.24151086807251,64.61902809143066,62.95649480819702,59.58499717712402,56.79586577415466,50.79907584190369,50.10694718360901,50.193384408950806,42.0495445728302,31.130561351776123,26.672369956970215,22.957945346832275,,,
game: 3,69.77139520645142,71.91251039505005,73.35354232788086,70.70154070854187,65.0575213432312,59.36522102355957,53.48731851577759,48.21760416030884,42.96278166770935,41.27503204345703,33.09841775894165,32.0291633605957,31.241901397705078,27.095255374908447,20.823277950286865,,,,,
game: 4,69.46399998664856,68.28853821754456,63.473658323287964,64.15014791488647,60.88643455505371,56.31146311759949,55.235580921173096,52.45717096328735,49.95697355270386,45.117966413497925,26.953418493270874,,,,,,,,,
game: 5,73.72838139533997,74.27770185470581,73.45436263084412,66.54359984397888,59.91460037231445,63.529459953308105,63.66928195953369,58.48940467834473,49.766485929489136,43.864094495773315,39.216771841049194,28.789764642715454,28.60135579109192,,,,,,,
game: 6,65.48957896232605,65.66938900947571,65.12546110153198,62.528454542160034,63.162328481674194,61.652973651885986,59.03771924972534,58.97413349151611,49.00207281112671,49.486536502838135,48.752192974090576,43.52531957626343,39.16890096664429,44.098954916000366,46.3788640499115,42.650450468063354,30.42142629623413,29.05531144142151,23.42632293701172,22.721750497817993
game: 7,60.59139657020569,65.62429451942444,68.17891097068787,72.47550892829895,75.40633153915405,73.2584137916565,67.59799718856812,51.244407653808594,48.73536229133606,46.4267201423645,44.18980312347412,43.74702024459839,33.58822464942932,23.286768436431885,20.476415872573853,,,,,
game: 8,60.46190023422241,63.44307541847229,61.67083978652954,60.68334341049194,61.62426733970642,52.27856516838074,46.01795506477356,44.47742247581482,37.63928771018982,31.96032428741455,22.433493614196777,,,,,,,,,
game: 9,71.9280297756195,73.16393852233887,74.91968107223511,67.90103340148926,69.27282857894897,60.14964556694031,52.3502779006958,42.03592371940613,35.79281973838806,23.107792377471924,,,,,,,,,,
game: 10,53.63202977180481,55.33148169517517,53.378260135650635,47.583823919296265,44.250362157821655,42.17395734786987,40.648807764053345,38.088231563568115,36.339091777801514,23.220778226852417,24.66605830192566,,,,,,,,,
game: 11,61.24239921569824,61.461313247680664,57.18162178993225,50.98495960235596,44.87736392021179,40.17286801338196,39.48445177078247,25.920287370681763,27.83069610595703,,,,,,,,,,,
game: 12,63.907087564468384,63.83624839782715,58.88268852233887,53.997708320617676,59.02751302719116,50.42778539657593,47.41366767883301,32.48400282859802,25.511000156402588,,,,,,,,,,,
game: 13,53.42411541938782,54.331134557724,51.74624538421631,49.4480459690094,59.3100905418396,50.772846937179565,43.811047077178955,41.23965907096863,36.477694034576416,26.486931324005127,26.27495551109314,28.86913228034973,,,,,,,,
game: 14,66.421067237854,67.80126881599426,69.33886432647705,63.93006443977356,57.16910481452942,48.27961087226868,51.87235927581787,46.382996559143066,43.76150107383728,41.84092450141907,37.07848334312439,37.451277017593384,31.017830848693848,29.306444883346558,25.042006969451904,23.331172466278076,,,,
game: 15,63.987608194351196,61.8805992603302,61.70000624656677,63.142831563949585,60.9877347946167,59.84235334396362,55.75537323951721,56.933692932128906,49.9429726600647,43.36329936981201,40.0157687664032,43.637162923812866,37.33644914627075,35.971519947052,33.63757395744324,,,,,
game: 16,57.31189322471619,55.25791382789612,51.8323814868927,45.159223556518555,36.113048791885376,42.80604434013367,39.294986963272095,29.901559352874756,,,,,,,,,,,,
game: 17,67.76983690261841,64.81416749954224,59.52392530441284,59.2725989818573,59.599756956100464,59.462417125701904,52.59118151664734,57.95363974571228,59.61311459541321,50.89781713485718,29.8249409198761,,,,,,,,,
game: 18,73.10054469108582,68.94956040382385,71.53351426124573,71.39639544487,69.45125889778137,66.11379551887512,69.44423770904541,62.73834013938904,51.338541746139526,40.65820288658142,43.21643614768982,29.13302493095398,46.82163882255554,44.8787407875061,34.124311208724976,37.17183804512024,33.899423122406006,30.843278169631958,25.715699434280396,
game: 19,65.38936018943787,60.87179136276245,59.258846044540405,63.240533113479614,60.743062019348145,53.21064305305481,55.5248646736145,53.03106379508972,45.1629593372345,30.903011322021484,28.830947637557983,,,,,,,,,
