,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20
game: 0,59.504899978637695,58.66341257095337,60.67343854904175,53.35637283325195,57.69505834579468,49.28088402748108,51.92027974128723,51.242002725601196,39.83570742607117,,,,,,,,,,,,
game: 1,60.63041114807129,62.27363300323486,56.12920546531677,56.650235652923584,56.59204149246216,53.73042154312134,43.202699184417725,33.93305420875549,32.73135685920715,25.932819843292236,22.61976456642151,10.400205135345459,,,,,,,,,
game: 2,54.96063828468323,55.51478719711304,56.17757296562195,56.71072173118591,54.58795619010925,46.2452290058136,30.153668642044067,21.27630376815796,20.65331745147705,19.236093997955322,,,,,,,,,,,
game: 3,68.5766212940216,66.73848176002502,68.25394821166992,65.27619123458862,61.50670528411865,59.333157539367676,48.34372925758362,46.78686046600342,42.547598361968994,38.66651439666748,36.2271203994751,30.357450246810913,28.812081336975098,23.48806118965149,18.927310943603516,,,,,,
game: 4,56.9867148399353,56.24661445617676,57.48833656311035,59.342347383499146,58.9377236366272,53.144057273864746,58.33437728881836,51.47638702392578,47.70049071311951,42.50716185569763,37.127870321273804,29.875417947769165,23.678871154785156,14.603083848953247,,,,,,,
game: 5,62.49441933631897,58.78690528869629,55.667402267456055,46.16093587875366,42.13379192352295,51.923553705215454,51.2371244430542,46.29421091079712,45.284258127212524,46.692856550216675,36.466156005859375,30.707051038742065,27.69532346725464,20.905311822891235,,,,,,,
game: 6,61.325835943222046,59.58627796173096,54.84445571899414,49.84019708633423,53.28010630607605,49.91574311256409,53.20711421966553,50.519057750701904,44.199546337127686,42.69081258773804,39.309515953063965,27.636870861053467,18.089524507522583,,,,,,,,
game: 7,61.87213063240051,60.70253276824951,61.43221664428711,59.27372431755066,58.50086188316345,56.62640047073364,50.89038562774658,49.28600859642029,46.064637184143066,40.87723994255066,39.34122610092163,29.102547883987427,17.126254081726074,,,,,,,,
game: 8,65.81424331665039,67.00639343261719,59.89690613746643,55.4464271068573,53.757144927978516,51.21380949020386,50.139126777648926,50.49683427810669,49.677624225616455,48.15985155105591,40.79786229133606,38.69934582710266,36.0859215259552,22.334962606430054,17.836472272872925,16.36730122566223,,,,,
game: 9,63.6612982749939,69.11306738853455,63.6286735534668,62.27335858345032,60.56359124183655,53.4531626701355,46.4755699634552,41.60555362701416,38.65983819961548,39.72719740867615,32.271968841552734,26.155473947525024,17.26038670539856,,,,,,,,
game: 10,61.62365388870239,60.88213396072388,57.68359351158142,48.05145335197449,57.81683588027954,50.94245100021362,51.50245809555054,50.48830270767212,44.91598963737488,39.05445623397827,24.903313636779785,24.296976327896118,20.0524799823761,17.414332389831543,17.51851511001587,,,,,,
game: 11,54.9568829536438,50.85205340385437,55.66823434829712,46.066877365112305,43.944257497787476,43.8143470287323,41.31758713722229,33.59134483337402,31.403417587280273,31.884779691696167,26.914607763290405,16.126303672790527,12.252509593963623,15.374125242233276,,,,,,,
game: 12,61.1386923789978,63.75160503387451,65.48180508613586,60.48606586456299,55.04398846626282,47.9619882106781,41.300647020339966,27.978716135025024,,,,,,,,,,,,,
game: 13,56.66457200050354,53.881192684173584,49.59889268875122,49.49067735671997,51.02284049987793,45.95603132247925,39.0344603061676,36.61959385871887,28.724337100982666,6.449758529663086,,,,,,,,,,,
game: 14,58.306421995162964,56.11300611495972,53.3568639755249,54.52787709236145,39.41844940185547,40.77136540412903,37.67816686630249,42.82618689537048,36.94395112991333,33.839128732681274,37.36070442199707,29.96685814857483,24.56157946586609,23.14990258216858,22.94783663749695,20.329879760742188,22.341084003448486,20.552703619003296,13.261092901229858,,
game: 15,71.62032675743103,71.56660461425781,67.59324312210083,60.67180562019348,61.85340929031372,54.313796043395996,49.72883343696594,49.92112112045288,36.029505014419556,38.8499710559845,30.288613080978394,21.159602880477905,,,,,,,,,
game: 16,48.478516817092896,48.040571212768555,46.15004897117615,41.97421455383301,40.06096696853638,37.20514965057373,34.08729696273804,30.959911108016968,31.947001218795776,27.732470989227295,19.605143785476685,15.227806091308594,17.56380009651184,21.288532733917236,0.17183518409729004,,,,,,
game: 17,63.08850455284119,63.71699547767639,45.20804047584534,39.455026626586914,44.57363677024841,45.21187090873718,48.7427442073822,37.71971654891968,39.65279579162598,36.09681558609009,36.09104251861572,27.52108597755432,21.944753408432007,2.9031171798706055,0.20310711860656738,,,,,,
game: 18,62.7101354598999,61.79871964454651,59.91512489318848,55.96828746795654,48.674397706985474,48.84317898750305,35.155431509017944,27.85923957824707,33.56875824928284,36.172499656677246,38.93803691864014,38.61590385437012,37.709107398986816,27.11061668395996,25.730567932128906,24.337400197982788,22.781989812850952,23.02307915687561,20.313737392425537,15.195864200592041,6.4959657192230225
game: 19,49.18680787086487,51.01016044616699,52.562793493270874,48.50704479217529,38.98780417442322,38.587491512298584,34.11625337600708,28.24214506149292,25.736184120178223,21.714030265808105,,,,,,,,,,,
