,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23
game: 0,0.0,0.0,0.0,42.85714285714286,27.27272727272727,12.5,57.89473684210527,43.47826086956522,25.0,,,,,,,,,,,,,,,
game: 1,0.0,22.22222222222222,19.999999999999996,25.0,31.818181818181824,47.16981132075472,51.5625,42.307692307692314,68.90756302521008,60.0,19.999999999999996,64.36781609195403,50.0,19.999999999999996,,,,,,,,,,
game: 2,0.0,0.0,19.999999999999996,14.28571428571429,30.76923076923077,47.05882352941176,42.85714285714286,45.45454545454546,61.904761904761905,58.33333333333333,64.86486486486487,25.0,67.85714285714286,69.23076923076923,19.999999999999996,19.999999999999996,37.5,33.333333333333336,34.78260869565217,69.23076923076923,,,,
game: 3,0.0,36.8421052631579,0.0,0.0,28.57142857142857,27.77777777777778,51.35135135135135,53.125,42.85714285714286,27.27272727272727,55.55555555555556,55.55555555555556,56.09756097560976,50.76923076923077,76.29427792915531,,,,,,,,,
game: 4,0.0,12.5,0.0,11.111111111111116,23.076923076923073,40.816326530612244,50.0,75.0,75.38461538461539,80.3680981595092,,,,,,,,,,,,,,
game: 5,0.0,0.0,16.666666666666664,22.22222222222222,43.333333333333336,32.35294117647059,34.48275862068966,27.27272727272727,72.34042553191489,57.407407407407405,55.172413793103445,79.93311036789298,57.57575757575757,47.22222222222222,55.55555555555556,38.095238095238095,,,,,,,,
game: 6,19.999999999999996,18.181818181818176,12.5,16.666666666666664,25.0,19.999999999999996,29.166666666666664,30.000000000000004,56.25,38.46153846153846,,,,,,,,,,,,,,
game: 7,19.999999999999996,7.9999999999999964,34.375,43.58974358974359,33.333333333333336,15.384615384615385,46.875,62.913907284768214,63.90977443609023,56.52173913043479,44.11764705882353,44.73684210526315,53.52112676056338,,,,,,,,,,,
game: 8,0.0,19.999999999999996,0.0,0.0,16.666666666666664,25.0,31.818181818181824,25.0,42.10526315789473,47.05882352941176,25.0,,,,,,,,,,,,,
game: 9,0.0,0.0,16.666666666666664,19.999999999999996,34.61538461538461,38.46153846153846,43.39622641509434,64.65517241379311,64.07766990291262,66.38655462184873,60.0,19.999999999999996,19.999999999999996,37.5,19.999999999999996,30.000000000000004,,,,,,,,
game: 10,0.0,0.0,0.0,25.0,18.181818181818176,30.434782608695656,19.999999999999996,30.434782608695656,26.66666666666667,43.24324324324324,54.41176470588236,57.14285714285714,60.0,69.23076923076923,50.0,60.0,50.0,50.0,,,,,,
game: 11,19.999999999999996,25.0,0.0,30.000000000000004,27.27272727272727,48.97959183673469,47.36842105263158,40.90909090909091,48.275862068965516,19.999999999999996,,,,,,,,,,,,,,
game: 12,0.0,0.0,25.0,18.181818181818176,12.5,64.7887323943662,14.28571428571429,48.21428571428571,42.00000000000001,56.38629283489096,,,,,,,,,,,,,,
game: 13,0.0,0.0,31.428571428571427,0.0,16.666666666666664,16.666666666666664,31.818181818181824,46.728971962616825,25.0,44.44444444444444,,,,,,,,,,,,,,
game: 14,0.0,0.0,0.0,14.28571428571429,38.46153846153846,31.25,48.33333333333333,51.02040816326531,52.08333333333333,71.11111111111111,55.88235294117647,75.43859649122807,48.14814814814815,81.55339805825243,,,,,,,,,,
game: 15,0.0,9.090909090909093,24.489795918367353,43.07692307692308,48.14814814814815,72.1830985915493,43.47826086956522,69.42148760330579,,,,,,,,,,,,,,,,
game: 16,0.0,0.0,16.666666666666664,30.76923076923077,27.27272727272727,53.48837209302326,41.666666666666664,50.847457627118644,49.18032786885246,86.1236802413273,27.27272727272727,27.27272727272727,33.333333333333336,25.0,,,,,,,,,,
