,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11
game: 0,68.26793384552002,65.61099338531494,66.2007884979248,63.352015256881714,60.54208827018738,45.625473737716675,,,,,,
game: 1,100.60513472557068,96.85405230522156,100.7868058681488,90.09200978279114,86.29316639900208,73.7583167552948,70.11828541755676,60.82594323158264,36.69641971588135,,,
game: 2,74.03538417816162,68.09395742416382,66.62150430679321,58.941084146499634,47.488988161087036,43.04404139518738,36.387535095214844,,,,,
game: 3,90.79823565483093,100.50367879867554,96.64735221862793,79.43140459060669,66.12781620025635,60.14488935470581,45.33067870140076,,,,,
game: 4,98.25752067565918,91.21166634559631,81.9836540222168,68.29647421836853,64.69130969047546,62.11051821708679,46.30382537841797,,,,,
game: 5,71.66640329360962,65.25398802757263,74.5247528553009,76.22878193855286,74.73150515556335,75.83123874664307,64.41821599006653,61.95715093612671,71.29629778862,57.61480760574341,44.19646239280701,
game: 6,78.16234064102173,80.70947623252869,76.82117104530334,72.9478120803833,76.10961198806763,70.78698587417603,60.611119508743286,57.267252683639526,54.921380281448364,38.316813945770264,23.97378420829773,
game: 7,72.65672469139099,82.48179984092712,83.14246773719788,81.79628920555115,69.52336716651917,71.4534375667572,70.17659187316895,62.2849817276001,51.65337777137756,,,
game: 8,95.97352409362793,86.96187329292297,78.77481818199158,68.12675380706787,83.93879270553589,76.13429236412048,65.0761399269104,64.1079466342926,39.478453636169434,31.465718269348145,,
game: 9,55.05895805358887,44.74786424636841,36.538639307022095,36.299241065979004,38.33807706832886,35.57458257675171,36.67322397232056,34.1836621761322,33.28235459327698,,,
game: 10,67.392502784729,60.340803146362305,55.84845781326294,53.60290765762329,51.95547938346863,50.597060441970825,53.72449207305908,38.68214464187622,,,,
game: 11,64.60006141662598,66.11832857131958,66.02124166488647,71.7372055053711,70.98279428482056,62.61876440048218,63.100252866744995,58.60338521003723,54.24514722824097,41.57457637786865,38.34983968734741,
game: 12,79.01641154289246,87.02037024497986,89.33870100975037,92.70499920845032,91.55798816680908,76.31630730628967,61.240939140319824,38.62815237045288,35.26889491081238,,,
game: 13,83.54279375076294,82.73800778388977,80.62222385406494,91.25682663917542,83.1954026222229,87.6010730266571,78.27310705184937,65.78883481025696,40.95453238487244,,,
game: 14,77.43924975395203,79.92467594146729,76.899409532547,76.66710948944092,65.06742644309998,55.04589247703552,51.51464056968689,29.473231554031372,26.65839409828186,41.1982786655426,37.34520983695984,32.478760957717896
game: 15,89.57683897018433,88.37889122962952,80.10364246368408,71.25133514404297,59.506070613861084,51.14577794075012,38.22231149673462,33.28400540351868,29.91307282447815,25.62946391105652,,
game: 16,97.41202807426453,96.5653862953186,91.97233438491821,91.05934143066406,93.73540925979614,75.28211760520935,70.42896270751953,57.269999980926514,45.89482522010803,31.900179624557495,30.783364057540894,
game: 17,89.48246455192566,90.13773608207703,84.47053647041321,79.22360587120056,83.58362007141113,79.52619433403015,67.53080749511719,61.629103660583496,,,,
game: 18,73.00062918663025,73.56257462501526,55.98457884788513,51.19729137420654,52.11617946624756,37.9555287361145,31.684903383255005,28.993571996688843,,,,
game: 19,77.7343282699585,81.26463603973389,76.54837083816528,79.99065661430359,80.78930568695068,64.36399340629578,64.09978723526001,51.375924587249756,,,,
